id,school_name,longitude,latitude
100183,Monte Elementary School,120.51389,18.03272
100184,Mumulaan Elementary School,120.5081948,18.1005048
100185,Nagbacalan Elementary School,120.5242521,18.1142844
100186,Nalasin Elementary School,120.5225462,18.0715738
100187,Nanguyudan Elementary School,120.557183,18.121179
100188,Paoay Central Elementary School,120.5208266,18.0609557
100189,Paoay East Central Elementary School,120.5250088,18.0598275
100190,Pasil Elementary School,120.5394262,18.1001065
100191,Salbang Elementary School,120.527366,18.064569
100192,Sideg Elementary School,120.5357856,18.0383506
100193,Suba Elementary School,120.5424243,18.1303583
100194,Binsang Elementary School,120.5940205,18.297918
100196,Caruan Elementary School,120.5989351,18.3821315
100197,Carusikis Elementary School,120.6826606,18.3367944
100198,Dadaeman Elementary School,120.6160476,18.3026189
100199,Davila Elementary School,120.578372,18.468013
100200,Dilanis Elementary School,120.64247,18.31041
100201,Dilavo Elementary School,120.58815,18.43135
100202,Gabaldon Elementary School,120.61262,18.32627
100203,Madalayap Elementary School,120.6831998,18.3253182
100204,Nagabungan Elementary School,120.57545,18.47896
100205,Naglicuan Elementary School,120.6033869,18.3144914
100206,Nagsanga Elementary School,120.6145745,18.3476164
100207,Pangil Elementary School,120.6418343,18.2964532
100208,Pasuquin Central Elementary School,120.6181579,18.3336898
100209,Puyupuyan Elementary School,120.60776,18.33439
100210,San Juan Elementary School,120.6647107,18.3314762
100211,Sta. Catalina Elementary School,120.67141,18.30641
100212,Sulbec Elementary School,120.633327,18.350315
100213,Surong Elementary School,120.6423356,18.321268
100214,Tabungao Elementary School,120.62393,18.31397
100215,Tadao Elementary School,120.6940155,18.3824024
100216,Ab–Abut Elementray School,120.695275,18.1688454
100217,Abucay Elementary School,120.7371,18.16068
100218,Boyboy Elementary School,120.7194749,18.1401285
100219,Calambeg Elementary School,120.72474,18.18795
100220,Carasi Elementary School,120.8207864,18.1395102
100221,Dupitac Elementary School,120.7535252,18.1645061
100223,Gayamat Primary School,120.7347418,18.1667518
100224,Lagandit Elementary School,120.7034541,18.1920872
100225,Libnaoan Elementary School,120.7195267,18.1824013
100226,Maruaya Elementary School,120.73119,18.17034
100227,Piddig Central Elementary School,120.7194747,18.1682839
100228,Piddig South Central Elementary School,120.7197547,18.1676738
100229,San Antonio Elementary School,120.807724,18.1376382
100230,Sta.Maria Elementary School,120.7846,18.13043
100231,Tangaoan Elementary School,120.6950126,18.1816029
100232,Tonoton Elementary School,120.69851,18.14906
100233,Virbira–Angset Elementary School,120.791345,18.16001
100234,Badio Elementary School,120.50974,17.954824
100235,Barbar Elementary School,120.5243075,17.9253047
100236,Bicbica Primary School,120.61227,17.92982
100237,Buanga Elementary School,120.5628575,17.9648039
100238,Bulbulala Elementary School,120.5074125,17.9470981
100239,Cabaroan Elementary School,120.55607,17.95504
100240,Darat Elementary School,120.4893761,17.9525282
100241,Don Mariano Marcos Memorial Sch.,120.525849,17.9518614
100242,Gulpeng Primary School,120.4939,17.96716
100243,Liliputen Elementary School,120.5825104,17.9404433
100244,Nagtrigoan Elementary School,120.54444,17.97344
100245,Pugaoan–Bungro Elementary School,120.5344359,17.9280664
100246,Puritac–Dalayap Elementary School,120.5286394,17.9663132
100247,Puzol Elementary School,120.5144431,17.9390721
100249,Salanap Elementary School,120.52551,17.93998
100251,Asuncion Elementary School,120.5584733,18.1433233
